SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDRETH1,RIDRETH3,RIDEXMON,DMQMILIZ,DMDBORN4,DMDCITZN,DMDEDUC2,DMDMARTL,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU
64420,7,2,2,54,4,4,2.0,2.0,2,2.0,3.0,1.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,17928.412795,17976.980061000002,1,90,15.0,15.0,4.34,4,4,0,0,1,1,62,2.0,5.0,1.0,3.0
64421,7,2,2,2,4,4,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,8754.193667,9419.610037,2,98,8.0,8.0,1.8,5,5,2,1,0,1,32,1.0,4.0,1.0,5.0
64422,7,2,1,16,2,2,2.0,,1,1.0,,,1,2.0,2,2.0,2.0,2.0,1.0,2.0,2.0,1.0,15351.501194999999,16874.029415,2,90,1.0,1.0,0.22,3,3,0,1,0,2,48,2.0,2.0,5.0,
64423,7,2,2,12,4,4,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,12826.497818,12890.123626,2,96,3.0,3.0,0.38,5,5,1,2,0,2,30,1.0,3.0,5.0,
64424,7,2,1,0,3,3,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,25469.602005,25029.287945,2,91,15.0,15.0,5.0,3,3,1,0,0,1,35,1.0,5.0,1.0,5.0
64425,7,2,2,7,5,6,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,7722.982970999998,8635.133042,1,93,8.0,8.0,2.24,4,4,0,2,0,1,44,2.0,5.0,1.0,4.0
64426,7,2,2,0,4,4,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,4412.61884,4541.653777,1,93,7.0,7.0,1.97,4,4,1,2,0,2,33,1.0,4.0,3.0,
64427,7,2,1,37,3,3,1.0,2.0,1,1.0,5.0,1.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,105412.227726,111169.022023,2,101,15.0,15.0,5.0,3,3,1,0,0,1,37,1.0,5.0,1.0,5.0
64428,7,2,1,7,5,6,1.0,,2,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,9101.455527,9700.372536,2,102,8.0,8.0,1.72,5,5,0,2,1,1,63,2.0,5.0,1.0,5.0
64429,7,2,1,4,5,6,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,6185.185728,6767.562311,1,97,14.0,14.0,2.29,7,7,1,2,2,1,40,2.0,1.0,1.0,1.0
64430,7,2,1,65,5,7,2.0,1.0,1,1.0,4.0,1.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7415.090784,7473.093956000002,2,95,12.0,12.0,,3,3,0,0,2,1,65,1.0,4.0,1.0,4.0
64431,7,2,2,32,4,4,1.0,2.0,1,1.0,4.0,1.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,42468.064168,43146.583226999996,2,101,5.0,5.0,1.19,3,3,1,0,0,2,32,1.0,4.0,1.0,3.0
64432,7,2,2,12,4,4,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,16598.888684999998,16552.117725,2,102,5.0,5.0,0.76,5,5,1,3,0,2,30,1.0,4.0,4.0,
64433,7,2,1,80,3,3,2.0,1.0,1,1.0,2.0,1.0,1,2.0,2,1.0,2.0,2.0,1.0,1.0,2.0,,6882.452425,7271.663559999999,1,99,6.0,6.0,1.12,4,4,0,0,2,1,51,1.0,4.0,3.0,
64434,7,2,2,7,3,3,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,56541.371473,55790.525616,2,94,3.0,3.0,0.82,2,2,0,1,0,2,38,1.0,5.0,3.0,
64435,7,2,1,16,5,7,2.0,,1,1.0,,,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,9136.388281,9719.077424,3,91,8.0,8.0,2.24,4,4,0,2,0,1,45,1.0,4.0,1.0,4.0
64436,7,2,2,34,2,2,2.0,2.0,2,1.0,5.0,6.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,27127.983961,27837.333200999998,2,90,14.0,14.0,3.45,4,4,1,1,0,2,34,2.0,5.0,6.0,
64437,7,2,2,21,4,4,2.0,2.0,1,1.0,1.0,5.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,19520.240895,25185.107635,2,95,2.0,2.0,0.33,2,2,1,0,0,2,21,1.0,1.0,5.0,
64438,7,2,2,44,4,4,1.0,1.0,1,1.0,4.0,3.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,25774.834016999997,34018.000767000005,1,100,8.0,8.0,3.3,2,2,0,1,0,2,44,1.0,4.0,3.0,
64439,7,2,1,53,3,3,1.0,2.0,1,1.0,4.0,1.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,148039.171547,149225.244125,2,98,15.0,15.0,5.0,2,2,0,0,0,2,52,1.0,3.0,1.0,4.0
64440,7,2,1,40,5,6,1.0,2.0,2,1.0,5.0,5.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,24506.160628999998,24417.630409,1,92,77.0,77.0,,2,2,0,0,1,1,40,2.0,5.0,5.0,
64441,7,2,1,0,4,4,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,7867.225786,8217.805417,3,92,6.0,6.0,0.93,5,5,2,1,0,2,37,1.0,5.0,1.0,3.0
64442,7,1,1,61,1,1,,2.0,1,1.0,1.0,1.0,1,2.0,2,1.0,2.0,2.0,,,,,8390.796678,0.0,3,92,7.0,7.0,2.45,2,2,0,0,1,2,55,1.0,1.0,1.0,1.0
64443,7,2,2,2,4,4,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,7567.81858,8250.001805,2,97,7.0,7.0,1.06,7,7,1,2,0,2,40,1.0,4.0,5.0,
64444,7,2,1,18,3,3,2.0,2.0,1,1.0,,,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,74123.16167100001,78732.269389,1,93,15.0,15.0,4.59,4,4,0,1,0,1,57,1.0,5.0,1.0,5.0
64445,7,1,2,3,4,4,,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,11353.600279,0.0,1,98,15.0,15.0,5.0,6,6,3,0,0,1,37,2.0,5.0,1.0,4.0
64446,7,2,1,47,3,3,1.0,1.0,1,1.0,3.0,1.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,105141.812429,104871.724763,1,98,7.0,7.0,1.66,5,5,2,1,0,2,37,1.0,5.0,1.0,3.0
64447,7,2,2,41,3,3,1.0,2.0,1,1.0,3.0,5.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,27934.372045,33663.467631,1,101,4.0,4.0,0.58,6,6,0,4,0,2,41,1.0,3.0,5.0,
64448,7,2,1,0,3,3,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,22215.410216,21831.354059999998,2,98,14.0,14.0,4.32,3,3,1,0,0,1,26,1.0,4.0,6.0,
64449,7,2,2,18,5,6,1.0,2.0,1,1.0,,,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,10312.363668,10584.186706,2,102,10.0,10.0,3.62,3,3,0,0,0,1,51,2.0,5.0,1.0,5.0
64450,7,2,1,80,3,3,2.0,1.0,1,1.0,3.0,2.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,,9845.894687,11807.30791,2,94,14.0,14.0,3.58,4,4,1,0,1,1,80,1.0,3.0,2.0,
64451,7,2,1,32,3,3,2.0,1.0,1,1.0,4.0,6.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,18464.039593,21965.968722999998,1,101,6.0,6.0,2.51,2,1,0,0,0,1,32,1.0,4.0,6.0,
64452,7,2,1,0,2,2,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,7284.164858,7284.2991189999975,1,92,6.0,6.0,1.67,3,3,1,0,0,1,27,1.0,3.0,6.0,
64453,7,2,2,5,4,4,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,15449.848607,17265.123353,2,102,1.0,1.0,0.16,3,3,1,0,1,2,63,1.0,2.0,4.0,
64454,7,2,2,4,5,7,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,13130.790087000001,14128.876607,2,102,14.0,14.0,3.25,5,5,1,1,0,2,32,1.0,4.0,1.0,3.0
64455,7,2,1,6,4,4,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,12399.014378,12645.533348,2,96,6.0,6.0,1.35,3,3,1,1,0,2,25,1.0,3.0,5.0,
